"name_nsi";"price";"index";"environment";"quality_of_living";"safety";"transport";"services";"relax";"condition";"area";"energy_costs";"provision";"certificate";"construction_type";"orientation";"year_built";"last_reconstruction";"total_floors";"floor";"lift";"balkonies";"loggia";"cellar";"type";"rooms";"district"
"Štúrovo";83000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";63;NA;0;NA;NA;NA;NA;NA;NA;NA;1;1;NA;0;"2-room apartment";2;"Nové Zámky"
"Štúrovo";96500;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";78;NA;0;NA;NA;NA;NA;NA;7;NA;1;NA;1;0;"3-room apartment";3;"Nové Zámky"
"Štúrovo";82900;NA;NA;NA;NA;NA;NA;NA;"Original condition";62;NA;0;NA;NA;NA;NA;NA;7;2;1;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Štúrovo";67000;NA;NA;NA;NA;NA;NA;NA;"Original condition";57;NA;0;"none";"Panel";NA;NA;NA;NA;NA;1;NA;NA;0;"2-room apartment";2;"Nové Zámky"
"Štúrovo";48000;NA;NA;NA;NA;NA;NA;NA;"Original condition";20;NA;0;"none";NA;NA;1970;NA;7;1;0;NA;NA;0;"1-room apartment";1;"Nové Zámky"
"Štúrovo";79900;NA;NA;NA;NA;NA;NA;NA;"Original condition";70;NA;1;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Štúrovo";65500;NA;NA;NA;NA;NA;NA;NA;"Original condition";58;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;"2-room apartment";2;"Nové Zámky"
"Štúrovo";109000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";73;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Štúrovo";68000;NA;NA;NA;NA;NA;NA;NA;"Original condition";63;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Štúrovo";94000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";78,57;NA;0;NA;NA;NA;NA;NA;7;4;1;1;NA;0;"3-room apartment";3;"Nové Zámky"
"Štúrovo";74990;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";58;NA;0;NA;NA;NA;NA;NA;7;1;1;NA;NA;0;"2-room apartment";2;"Nové Zámky"
"Štúrovo";88500;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";59;NA;0;NA;NA;NA;NA;NA;7;7;1;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Štúrovo";92500;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";84;NA;0;"none";NA;NA;1960;NA;1;1;0;NA;NA;0;"4-room apartment";4;"Nové Zámky"
"Štúrovo";85000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";81;NA;0;"none";NA;NA;NA;NA;4;1;0;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Štúrovo";90459;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";64;NA;0;NA;"Brick";NA;NA;NA;NA;NA;0;1;NA;0;"3-room apartment";3;"Nové Zámky"
"Štúrovo";81900;NA;NA;NA;NA;NA;NA;NA;"Original condition";NA;NA;0;NA;"Panel";NA;NA;NA;NA;NA;1;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Štúrovo";81900;NA;NA;NA;NA;NA;NA;NA;"Original condition";94;NA;1;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Štúrovo";82900;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";80;NA;0;"none";NA;NA;70;NA;1;1;0;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Štúrovo";79900;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";63;NA;0;NA;NA;NA;NA;NA;12;10;1;NA;NA;0;"2-room apartment";2;"Nové Zámky"
"Štúrovo";113000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";102;NA;0;"none";NA;NA;1980;NA;1;1;0;1;NA;0;"4-room apartment";4;"Nové Zámky"
"Štúrovo";59800;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";70;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;"2-room apartment";2;"Nové Zámky"
"Štúrovo";92000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";84;NA;1;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;"4-room apartment";4;"Nové Zámky"
"Štúrovo";84000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";65;NA;1;"none";NA;NA;1900;NA;7;4;0;NA;NA;0;"2-room apartment";2;"Nové Zámky"
"Štúrovo";92500;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";84;NA;0;"C";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"4-room apartment";4;"Nové Zámky"
"Štúrovo";139000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";80;NA;0;NA;"Panel";NA;NA;NA;4;1;0;NA;1;0;"4-room apartment";4;"Nové Zámky"
"Štúrovo";115000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";76;NA;0;"none";"Panel";NA;NA;NA;NA;2;0;2;NA;0;"3-room apartment";3;"Nové Zámky"
"Štúrovo";75000;NA;NA;NA;NA;NA;NA;NA;"Original condition";68;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Štúrovo";138000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";86;NA;0;NA;NA;NA;2006;NA;NA;2;0;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Štúrovo";120000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";86;NA;0;NA;"Panel";NA;NA;NA;NA;2;0;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Štúrovo";73000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";65;NA;0;NA;"Brick";NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Štúrovo";98000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";73;NA;0;NA;"Panel";NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Štúrovo";78000;NA;NA;NA;NA;NA;NA;NA;"Original condition";63;NA;0;"C";"Brick";NA;1950;NA;NA;2;0;NA;NA;0;"2-room apartment";2;"Nové Zámky"
"Štúrovo";96000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";NA;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;"4-room apartment";4;"Nové Zámky"
"Šurany";93000;NA;NA;NA;NA;NA;NA;NA;"Original condition";67;NA;1;"none";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Šurany";98000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";84;NA;1;"G";NA;NA;1900;NA;3;NA;0;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Šurany";69900;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";36;NA;0;NA;NA;NA;NA;NA;7;6;1;NA;NA;0;"1-room apartment";1;"Nové Zámky"
"Šurany";66409;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";40;NA;0;NA;"Panel";NA;1992;NA;NA;NA;1;NA;1;0;"1-room apartment";1;"Nové Zámky"
"Šurany";66000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";36;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;"1-room apartment";1;"Nové Zámky"
"Šurany";95000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";82;NA;0;"none";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Šurany";98000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";64;NA;0;"none";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Šurany";97000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;"2-room apartment";2;"Nové Zámky"
"Šurany";83000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";60;NA;1;"G";NA;NA;1981;NA;7;7;0;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Šurany";68900;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";36;NA;0;"none";NA;NA;NA;NA;7;6;1;NA;NA;0;"1-room apartment";1;"Nové Zámky"
"Šurany";86990;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";56;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;"2-room apartment";2;"Nové Zámky"
"Tvrdošovce";85000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";58;NA;0;NA;NA;NA;1977;NA;NA;1;0;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Močenok";132990;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";86;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Diakovce";129000;NA;NA;NA;NA;NA;NA;NA;"New building";85,22;NA;1;NA;NA;NA;NA;2021;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Diakovce";112000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";85,5;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;"4-room apartment";4;"Šaľa"
"Diakovce";153000;NA;NA;NA;NA;NA;NA;NA;"New building";108,34;NA;1;NA;NA;NA;NA;NA;2;1;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Diakovce";138000;NA;NA;NA;NA;NA;NA;NA;"New building";84,72;NA;1;NA;NA;NA;NA;NA;2;2;0;1;NA;0;"3-room apartment";3;"Šaľa"
"Diakovce";138000;NA;NA;NA;NA;NA;NA;NA;"New building";84,79;NA;0;"A";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Diakovce";153000;NA;NA;NA;NA;NA;NA;NA;"New building";108,34;NA;0;"A";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Diakovce";175000;NA;NA;NA;NA;NA;NA;NA;"New building";129;NA;0;NA;NA;NA;NA;NA;1;1;0;NA;NA;0;"4-room apartment";4;"Šaľa"
"Selice";43500;NA;NA;NA;NA;NA;NA;NA;"Original condition";79;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Selice";39900;NA;NA;NA;NA;NA;NA;NA;"Original condition";79;NA;1;"none";NA;NA;1900;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Selice";63000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";NA;NA;0;"none";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Selice";39900;NA;NA;NA;NA;NA;NA;NA;"Original condition";NA;NA;0;"none";"Panel";NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";112000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";64;NA;0;"C";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";104900;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";64;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";132900;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";83;NA;0;"C";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";105000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";63;NA;1;"B";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";99000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";63;230;1;"B";NA;NA;NA;NA;7;5;1;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";95000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";61;NA;0;"none";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";95000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";61;NA;0;"none";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";69900;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";32;NA;0;"C";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"1-room apartment";1;"Šaľa"
"Šaľa";94900;NA;NA;NA;NA;NA;NA;NA;"Original condition";64;NA;0;NA;NA;NA;NA;NA;NA;7;0;NA;NA;0;"2-room apartment";2;"Šaľa"
"Šaľa";137900;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";73;NA;0;"none";NA;NA;1;NA;5;2;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";125000;NA;NA;NA;NA;NA;NA;NA;"New building";67,78;NA;1;NA;NA;NA;2013;NA;4;2;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";133000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";83;NA;1;NA;NA;NA;1974;NA;7;4;1;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";108500;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";79;NA;1;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;"3-room apartment";3;"Šaľa"
"Šaľa";74500;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";37;NA;1;NA;NA;NA;NA;2023;7;4;0;NA;NA;0;"1-room apartment";1;"Šaľa"
"Šaľa";98000;NA;NA;NA;NA;NA;NA;NA;"Original condition";84;NA;1;"B";NA;NA;NA;NA;7;6;1;NA;NA;0;"4-room apartment";4;"Šaľa"
"Šaľa";110000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";75;NA;1;"B";NA;NA;NA;NA;12;4;1;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";99000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";63;NA;1;"B";NA;NA;NA;NA;4;4;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";72000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";36;130;1;"B";NA;NA;NA;NA;7;7;0;NA;NA;0;"1-room apartment";1;"Šaľa"
"Šaľa";113000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";54;NA;1;NA;NA;NA;NA;2023;4;3;0;NA;NA;0;"2-room apartment";2;"Šaľa"
"Šaľa";99000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";58;NA;1;"B";NA;NA;NA;NA;NA;NA;0;1;NA;0;"2-room apartment";2;"Šaľa"
"Šaľa";72000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";32;NA;1;"A";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"1-room apartment";1;"Šaľa"
"Šaľa";89000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";54;NA;0;NA;NA;NA;NA;NA;3;3;0;NA;NA;0;"2-room apartment";2;"Šaľa"
"Šaľa";105000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";78;NA;1;NA;NA;NA;NA;NA;7;5;1;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";95000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";63;NA;1;"B";NA;NA;NA;NA;NA;NA;0;NA;1;0;"3-room apartment";3;"Šaľa"
"Šaľa";83000;NA;NA;NA;NA;NA;NA;NA;"Original condition";63;NA;1;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";113000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";84;250;1;"B";NA;NA;NA;2016;7;7;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";153000;NA;NA;NA;NA;NA;NA;NA;"New building";108,34;NA;1;NA;NA;NA;2022;NA;1;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";138000;NA;NA;NA;NA;NA;NA;NA;"New building";84,72;NA;1;NA;NA;NA;2022;NA;1;1;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";110000;NA;NA;NA;NA;NA;NA;NA;"New building";49;110;0;NA;"Panel";NA;NA;NA;5;4;1;NA;NA;0;"2-room apartment";2;"Šaľa"
"Šaľa";98000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";58;126;1;"none";NA;NA;1988;NA;2;2;0;NA;NA;0;"2-room apartment";2;"Šaľa"
"Šaľa";107000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";67;NA;0;"none";NA;NA;1970;NA;5;3;0;1;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";114900;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";65,55;NA;0;NA;"Panel";NA;NA;NA;NA;6;1;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";67000;NA;NA;NA;NA;NA;NA;NA;"Original condition";65;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";107000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";70;NA;0;"none";NA;NA;1;NA;7;7;1;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";97500;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";84;NA;0;"none";"Panel";NA;NA;NA;NA;NA;1;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";94900;NA;NA;NA;NA;NA;NA;NA;"Original condition";70;NA;0;"B";NA;NA;1983;NA;NA;7;0;NA;NA;0;"2-room apartment";2;"Šaľa"
"Šaľa";125000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";74;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";98000;NA;NA;NA;NA;NA;NA;NA;"Original condition";85;NA;0;NA;NA;NA;NA;NA;7;6;1;1;NA;0;"4-room apartment";4;"Šaľa"
"Šaľa";105700;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";76;NA;0;NA;NA;NA;NA;NA;NA;3;0;1;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";149700;NA;NA;NA;NA;NA;NA;NA;"New building";73;NA;0;"A";NA;NA;2023;NA;1;1;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";104000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";62;170;0;NA;"Panel";NA;NA;NA;6;6;1;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";93000;NA;NA;NA;NA;NA;NA;NA;"Original condition";74;NA;0;NA;"Other";NA;NA;NA;NA;4;0;NA;NA;0;"2-room apartment";2;"Šaľa"
"Šaľa";99000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";58;150;1;NA;NA;NA;1965;NA;2;2;0;NA;NA;0;"2-room apartment";2;"Šaľa"
"Šaľa";92000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";53;105;1;"B";NA;NA;1968;2016;4;3;0;NA;NA;0;"2-room apartment";2;"Šaľa"
"Šaľa";105990;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";75,16;NA;1;NA;NA;NA;NA;NA;5;5;1;1;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";119900;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";83;NA;0;NA;NA;NA;NA;NA;8;4;1;1;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";153000;NA;NA;NA;NA;NA;NA;NA;"New building";108,34;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";138000;NA;NA;NA;NA;NA;NA;NA;"New building";138000;NA;0;NA;NA;NA;2023;NA;NA;1;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";119900;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";74;NA;0;"none";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";85000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";64;NA;0;"none";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"2-room apartment";2;"Šaľa"
"Šaľa";107000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";70;NA;0;"none";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";129000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";83;NA;0;"none";NA;NA;1;NA;7;7;1;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";123950;NA;NA;NA;NA;NA;NA;NA;"New building";95;NA;0;"A";NA;NA;NA;NA;5;2;1;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";134990;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";83;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";95600;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";49;NA;0;NA;NA;NA;NA;NA;NA;1;0;1;NA;0;"2-room apartment";2;"Šaľa"
"Šaľa";54000;NA;NA;NA;NA;NA;NA;NA;"Original condition";19;NA;0;NA;"Other";NA;NA;NA;NA;NA;1;NA;NA;0;"Studio";1;"Šaľa"
"Šaľa";99000;NA;NA;NA;NA;NA;NA;NA;"Original condition";85;NA;0;"none";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"4-room apartment";4;"Šaľa"
"Šaľa";84900;NA;NA;NA;NA;NA;NA;NA;"Original condition";68;NA;0;"none";NA;NA;1965;NA;7;3;1;NA;NA;0;"2-room apartment";2;"Šaľa"
"Šaľa";105000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";83;NA;0;"none";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";63000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";20;NA;0;"none";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"Studio";1;"Šaľa"
"Šaľa";94000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";56;NA;0;"none";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"2-room apartment";2;"Šaľa"
"Šaľa";120000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";83;NA;0;"none";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"4-room apartment";4;"Šaľa"
"Šaľa";95000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";61;NA;0;"none";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";98000;NA;NA;NA;NA;NA;NA;NA;"Original condition";85;NA;0;"none";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";105000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";83;NA;0;"none";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";63000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";20;NA;0;"none";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"Studio";1;"Šaľa"
"Šaľa";108000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";64;NA;0;"none";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";75000;NA;NA;NA;NA;NA;NA;NA;"Original condition";62;NA;0;NA;NA;NA;NA;NA;7;3;1;NA;1;0;"3-room apartment";3;"Šaľa"
"Šaľa";99000;NA;NA;NA;NA;NA;NA;NA;"Original condition";85;NA;0;"none";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"4-room apartment";4;"Šaľa"
"Šaľa";114000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";NA;NA;0;"none";"Panel";NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";92000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";49;NA;0;"none";"Panel";NA;NA;NA;NA;3;0;NA;NA;0;"2-room apartment";2;"Šaľa"
"Šaľa";630000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";600;NA;0;NA;NA;NA;1959;2010;NA;3;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Šaľa";85000;NA;NA;NA;NA;NA;NA;NA;"Original condition";58;NA;0;"none";NA;"Southwest";NA;NA;NA;NA;0;NA;NA;0;"2-room apartment";2;"Šaľa"
"Tešedíkovo";82000;NA;NA;NA;NA;NA;NA;NA;"New building";60;NA;0;"none";NA;NA;2023;NA;1;NA;0;NA;NA;0;"3-room apartment";3;"Šaľa"
"Banka";92000;NA;NA;NA;NA;NA;NA;NA;"New building";37,05;NA;0;"A";NA;"South";NA;NA;NA;NA;0;NA;NA;0;"1-room apartment";1;"Piešťany"
